תאריך פרסום,מספר ילקוט הפרסומים,עמוד תחילת ההודעה,"סה""כ עמודים בגיליון",קישור ישיר לעמוד ההודעה,מבנה העמוד,סף הפרדה שם/תיאור (אותיות),שיטת הקביעה
1953-02-16,277,2,27,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/ttOM5MjvJBGTgUlM+yogOpFdEskmuygT8AgHZLEv774=,"טבלה (מספר|שם|קואורדינטות), לא פסקאות",,נבדק ידנית (עיון חזותי בעמוד 3)
1956-07-31,489,1,25,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/9xzIjgbJngs2Jv897mo9T~AIokbIdD5yHPpr1WNl1Yw=,,,
1957-05-14,536,2,40,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/OoRPnGeg1JT1GNR5k0~4RKqfmE8Hs5cRMJwcoFX~rZM=,,,
1957-12-16,572,1,6,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/vU9bVUtYTNKogi~aGGdjHarISvXMDHVsm7lv8uVens4=,,,
1958-06-12,605,1,62,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/vU9bVUtYTNKogi~aGGdjHag+IL3bhcF5Wh8TDvn2lOg=,,,
1959-05-06,668,1,39,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/gpSO+cMIPl5WMbjZd0dwi0+~z3AR4QxK6e8u~oHNJyo=,,,
1959-10-19,705,1,5,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/NA0nlCMd4EkGIQwMRK4BI6BYWgkSFWFg0blv2~2nOzA=,,,
1961-01-10,812,1,17,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/NA0nlCMd4EkGIQwMRK4BI6GTxKQbI9QfKf+zx6bz9eU=,,,
1961-03-13,829,1,5,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/NA0nlCMd4EkGIQwMRK4BIzbCP82kuZDTvzfaMIYItJs=,,,
1962-11-12,971,1,4,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/vU9bVUtYTNKogi~aGGdjHQ+8CPqPGetKecPEEN34I7w=,"חד-טורי (שם מיושר-ימין, תיאור זורם משמאלו)",,נבדק ידנית (עיון חזותי בעמוד 2)
1964-12-28,1143,1,5,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/BIVsoj1lG5+e0SnMxfHbu0qaXV5SHB+2Q6EKHLlkVTw=,,,
1966-06-01,1279,2,5,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/Lb0GCM3+S54Bu4cVMLZkicKjBDzpmabWE4k7a75jAMk=,,,
1968-08-29,1470,4,29,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/Oohinp9oMdyB95PHenumqB~R7SwwDRhLLK0jxq6ClNI=,,,
1969-02-20,1507,7,41,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/Oohinp9oMdyB95PHenumqMg6uKCALuG1HOldw9kMv8U=,,,
1980-06-10,2633,2,25,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/mffCJsyXCkc9j5~8JYEGOlB0cqKS7xKflmDV2H2qjE8=,"דו-טורי, קו-הפרדה מודפס בין העמודות",45.5,"נבדק ידנית + מכויל (calibrate_document_threshold, עמ׳ 3-4)"
1985-02-24,3165,2,20,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/dnsynmsur+pMj1941gdUT7xZLhKsTG+XdQbIU0sHCRU=,"דו-טורי, קו-הפרדה מודפס בין העמודות",45,"נבדק ידנית + מכויל (calibrate_document_threshold, עמ׳ 3-4)"
1992-06-04,4012,1,25,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/79oQ2sjtYUgnzxHxZgICPkvqW8NjjcZkXiTN0q5bD3M=,חד-טורי,,נבדק ידנית (עיון חזותי בעמוד 3)
2006-02-02,5488,2,48,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/rOowRwLHguBHfYrxzDP4A2Qwq0mi8v7MHHSKQxydgKo=,,,
2018-08-05,7902,2,24,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/gn7IC+aIZEm7OUAcU0QB46eQMoO+XosySogFPrHxfUc=,,,
2018-12-17,8040,7,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/6xGcHRgs8~Ck93hgfiwc0oCRo07XCZB3EBOHnvHZfLQ=,,,
2019-02-26,8126,5,24,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/rZpqgrc1cT9h83HgX58OhP3i63qKJWHzj86PHwbLo5w=,,,
2019-04-15,8201,2,16,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/puKTbXR3w2vHSYFFPBBNUXHtekyd2DjPn8UtCW1ennE=,,,
2019-07-11,8335,3,32,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/FxaPLKkcoT0CHMkVxV3lyc~q4TQPA5q~VJRHZ501ebQ=,,,
2019-11-20,8535,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/0EdK8t3gifoymHsG3ypLkVrd8yunAugytQVtMIp9uRg=,,,
2022-03-21,10287,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/hZXWCPn0dOf451ou0n21n~hWS8fe3r3wrlbHtln42Lo=,,,
2022-07-19,10674,4,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/qCynMwZB6U9~o0SN+~4rmnBtLqERimbXEsjoao75yiI=,,,
2022-08-02,10706,3,12,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/FTcS2HLmY+KO7Y0R7HzxmGU2KqHpEwR1bRZX0dTXdrs=,,,
