מספר גיליון,תאריך,קטגוריה,הערה
109,1950-09-15,INDEX,עמוד מפתח נושאים - לא תוכן אמיתי
152,1951-04-06,FOUNDING,ההודעה המקורית על הקמת הוועדה (1951) - לא 'מינוי שגרתי'
162,1951-05-24,FOUNDING,אזכור/עדכון סמוך להקמת הוועדה
252,1952-09-25,INDEX,עמוד מפתח נושאים
311,1953-09-17,INDEX,עמוד מפתח נושאים
471,1956-04-12,INDEX,עמוד מפתח נושאים
560,1957-10-03,INDEX,עמוד מפתח נושאים
622,1958-09-19,INDEX,עמוד מפתח נושאים
702,1959-10-08,INDEX,עמוד מפתח נושאים
714,1959-11-05,IRRELEVANT,אזכור אגבי של כתובת הוועדה בהודעת מס רכוש - לא תוכן של הוועדה
793,1960-09-29,INDEX,עמוד מפתח נושאים
964,1962-10-04,INDEX,עמוד מפתח נושאים
1112,1964-09-24,INDEX,עמוד מפתח נושאים
1398,1967-10-08,INDEX,עמוד מפתח נושאים
1476,1968-09-27,INDEX,עמוד מפתח נושאים
2046,1974-09-19,INDEX,עמוד מפתח נושאים
2056,1974-10-31,ADMIN,הודעת מינוי חבר לוועדה
2567,1979-09-28,INDEX,עמוד מפתח נושאים
3596,1985-11-27,ADMIN,הודעת מינוי חברים לוועדה
3583,1988-09-22,INDEX,עמוד מפתח נושאים
3631,1989-03-12,ADMIN,תיקון טעות דפוס בהודעת מינוי
3801,1990-09-27,INDEX,עמוד מפתח נושאים
3806,1990-10-22,ADMIN,הודעת מינוי חברים לוועדה
3921,1991-09-15,INDEX,עמוד מפתח נושאים
4306,1995-05-25,ADMIN,הודעת מינוי חבר לוועדה
5047,2002-01-17,ADMIN,הודעת מינוי חברים לוועדה
5330,2004-09-23,INDEX,עמוד מפתח נושאים
5361,2005-01-27,ADMIN,הודעת מינוי חבר לוועדה
5606,2006-12-18,ADMIN,"הודעת מינוי יו""ר לוועדה"
6057,2010-02-01,ADMIN,הודעת מינוי חברים לוועדה
6214,2011-03-17,ADMIN,הודעת מינוי חברים לוועדה
6948,2014-12-21,ADMIN,הודעת מינוי חברים לוועדה
7507,2017-05-18,ADMIN,"הודעת מינוי יו""ר לוועדה"
