קטגוריה,שם רשמי (עברית),תנועה מיישבת,"נ""צ",תיאור/מיקום חופשי,מספר גיליון,תאריך פרסום,עמוד,טור,ציון OCR,ציון OCR ממוצע,מילה עם הציון הנמוך
מועצות אזוריות,מ*א אַשדות שומֶרון,,,"מועצה המאגדת בתוכה את היישובים: סנור (שם זמני), שבי שומרון, קדומים, קרני שימרון, אלקנה, אריאל, תפוח (שם זמנ).",2633,1980-06-10,3,right,16.6,81.8,מ*א
מועצות אזוריות,"מ""א גולֶן",,,"מועצה המאגדת בתוכה את כל יישובי הגולן, לבד מן קצרין.",2633,1980-06-10,3,right,46.6,87.9,גולֶן
מועצות אזוריות,"מ""א גוש עַצִיון",,,"מועצה המאגדת בתוכה את היישובים: בי""ס שדה גילר, ראש צורים, אלעזר, אלון שבות, כפר עציון, מגדל עז, תקוע, אפרתה.",2633,1980-06-10,3,right,38.6,89.8,עַצִיון
מועצות אזוריות,מיא דרום הַשֶרון,,,"שם חדש לאיחודן של שלוש מועצות קיימות: *מפעלות אפק* ""היר* קון* ו""השרון התיכון"".",2633,1980-06-10,3,right,18.8,65.5,דרום
מועצות אזוריות,"מ""א הֶעַרְבַה . התיכונה",,,"מועצה בערבה המאגדת בתוכה את חיישובים: חצבה, עין יהב, ספיר, צופר, ופארן.",2633,1980-06-10,3,right,9.2,80.3,הֶעַרְבַה
מועצות אזוריות,"מ""א חוף עַזֶה",,,"מועצה המאגדת בתוכה את היישובים: נצר הוני, קטיף, וגני טל.",2633,1980-06-10,3,right,74.9,90.3,עַזֶה
מועצות אזוריות,"מ""א ??גלוֹת",,,"מועצר המאגרת בתוכה את היישובים: אלמוג, קליה, מצפה""שלם.",2633,1980-06-10,3,left,13.8,81.2,"מצפה""שלם."
מועצות אזוריות,"מ""א מטה אָשר",,,"שם חדש לאיחודן של שלוש מועצות: ""געתון"" ""נעמן""* ו""סולם צור*.",2633,1980-06-10,3,left,39,76.8,"מ""א"
מועצות אזוריות,"מ""א מְטה בנימין",,,"מועצה המאגדת בתוכה את היישובים: עפרה, בית אל, חלמיש, גבעון, בית חורון, מבוא חורון, מתתיהו, כפר רות ושילת.",2633,1980-06-10,3,left,0,87.6,מְטה
מועצות אזוריות,"מ""א מַעַלה יוסף",,,"ע""ש יוסף ויץ ז""ל. השם הקודם ""מעלה הגליל"" בטל. כולל את היישובים: אבן מנחם, אלקוש, גרן, חסן, יערה, זרעית (כפר רוזנוולד), מעונה, נטועה, עבדון, עין יעקב, פקיעין (חדשה), צורי- אל, שומרה, שתולה.",2633,1980-06-10,3,left,26.4,89.1,"הגליל"""
מועצות אזוריות,"מ""א עמק יורעאל",,,"שם חדש לאיחודן של שתי המועצות ""קישון"" ו""יזרעאל"".",2633,1980-06-10,3,left,11.9,83.2,יורעאל
מועצות אזוריות,"מ""א עַרבות הַירדן",,,"מועצה המאגדת בתוכה את היישובים, מחולה, רועי, בקעות, חמרה, ארגמן, מכורה, משואה, גתית, מעלה אפרים, פצאל, תומר, גלגל, נתיב הגדוד, נירן, ייטב, שלום ציון.",2633,1980-06-10,3,left,29.4,87.5,הַירדן
ישובים,אַבני אִיתָן,רמושבים הדתיים,2215.2480,"נ""צ 2215.2480, מושב של תנועת רמושבים הדתיים, הפועל המזרחי, בגולן (כינוי ארעי קודם: תל זית), מ""א גולן; השם ניתן לזכרם של ששה מחגרי הגרעין שנפלו במערכות ישראל.",2633,1980-06-10,3,right,22.5,87.2,אִיתָן
ישובים,אָבשָלום,,0748.0695,"נ""צ 0748.0695, מרכז גושי בחבל ימית (כינוי ארעי קורם: יד און); השם ניתן לזברו של אבשלום פיינברג ז""ל.",2633,1980-06-10,3,right,38.4,84,אָבשָלום
ישובים,אדם,העובד הציוני,2205.2891,"נ*צ 2205.2891, מושב שיתופי של תנועת העובד הציוני בגולן (כינוי ארעי קודם: הר אדם), מ""א גולן; ע""ש ההר הסמוך, לפנים תל""אלדאתמר.",2633,1980-06-10,3,right,13.5,87.2,"תל""אלדאתמר."
ישובים,אדר,,177.271,"נ""צ 177.271, מצפור בגליל (כינוי ארעי קודם: אדירים); על שם עץ מצוי באזור, המופיע בתלמוד, ביצה ט""ו, ב': *הרוצה שיתקיימו נכסיו יטע בהן אדר"".",2633,1980-06-10,3,right,81.8,90.7,*הרוצה
ישובים,אהד,המושבים,095.072,"נ""צ 095.072, מושב של תנועת המושבים בחבל הבשור, במ""א אשכול; שם מקראי, ב[ שלישי לשמעון בן יעקב (בראשית מ""ו, י').",2633,1980-06-10,3,right,0,81.2,י').
ישובים,אֶגדֶה (אוגדה),המושבים,0755.0665,"נ""צ 0755.0665, מושב של תנועת המושבים בחבל ימית; על שם אוגדת רפלדה שנלחמה באזור במלחמת ששת הימים.",2633,1980-06-10,3,left,19.9,86.3,אֶגדֶה
